Team Number,Match ID,Left Black Line,Auto Coral Level 1,Auto Coral Level 2,Auto Coral Level 3,Auto Coral Level 4,Auto Algae Processed,Auto Algae Netted,Teleop Coral Level 1,Teleop Coral Level 2,Teleop Coral Level 3,Teleop Coral Level 4,Teleop Algae Processed,Teleop Algae Netted,Cage Climb,
9692,2025gal_qm112,Yes,0,0,0,2,0,0,0,3,4,7,0,0,DeepCage,
233,2025gal_qm112,Yes,0,0,0,0,0,0,0,0,1,7,0,0,DeepCage,
2614,2025gal_qm113,Yes,0,0,0,1,0,0,1,5,3,2,0,0,Parked,
7769,2025gal_qm113,Yes,0,0,0,1,0,1,0,4,3,3,2,0,Parked,
1002,2025gal_qm113,Yes,0,0,0,1,0,0,0,3,5,4,1,0,Parked,
2813,2025gal_qm113,Yes,0,0,0,0,0,0,3,7,2,0,0,0,DeepCage,
1002,2025gal_qm113,Yes,0,0,0,1,0,0,0,3,7,2,0,0,Parked,
4946,2025gal_qm113,Yes,0,0,0,3,0,0,0,4,7,5,0,3,DeepCage,
9077,2025gal_qm113,Yes,0,0,0,2,0,0,1,2,4,3,0,0,Parked,
3459,2025gal_qm114,Yes,0,0,0,0,0,0,0,0,2,0,0,3,Parked,
8573,2025gal_qm114,Yes,1,0,0,0,0,0,1,4,2,0,0,0,Parked,
1218,2025gal_qm114,No,1,0,0,1,0,0,0,4,4,1,0,0,Parked,
2530,2025gal_qm114,Yes,0,0,0,1,0,1,0,4,4,3,2,0,Parked,
3990,2025gal_qm114,Yes,0,0,0,1,0,2,0,0,1,6,0,0,DeepCage,
3459,2025gal_qm114,Yes,0,0,0,0,0,0,0,0,2,0,3,0,Parked,
176,2025gal_qm114,Yes,1,0,0,1,0,0,0,3,6,4,0,2,DeepCage,
2230,2025gal_qm115,Yes,0,0,0,2,0,0,1,5,4,3,0,0,DeepCage,
6436,2025gal_qm115,Yes,0,0,0,0,0,0,0,0,0,0,0,0,None,
4381,2025gal_qm115,Yes,0,0,0,3,0,0,0,0,4,4,0,1,Parked,
5348,2025gal_qm115,Yes,0,0,0,1,0,0,2,3,1,4,0,0,DeepCage,
4381,2025gal_qm115,Yes,0,0,0,3,0,0,0,0,5,5,0,1,Parked,
3035,2025gal_qm115,Yes,0,0,0,0,0,0,0,4,5,2,0,0,DeepCage,
6436,2025gal_qm115,Yes,0,0,0,0,0,0,0,0,0,0,0,0,None,
59,2025gal_qm115,Yes,0,0,0,0,0,0,1,3,6,4,0,3,DeepCage,
4476,2025gal_qm116,Yes,0,0,0,3,0,0,1,2,4,3,0,3,Parked,
3506,2025gal_qm116,Yes,0,0,0,1,0,0,0,0,0,0,0,0,Parked,
3506,2025gal_qm116,Yes,0,0,0,1,0,0,0,0,0,0,0,0,Parked,
9140,2025gal_qm116,Yes,0,0,0,2,0,0,0,4,5,4,0,1,Parked,
9140,2025gal_qm116,Yes,1,0,0,2,0,0,0,4,5,4,0,1,DeepCage,
2992,2025gal_qm116,Yes,0,0,1,0,0,2,0,0,0,0,2,6,Parked,
1561,2025gal_qm116,Yes,0,0,0,1,0,0,0,2,5,4,1,0,Parked,
2883,2025gal_qm116,Yes,0,0,0,1,0,0,0,3,2,6,0,0,DeepCage,
3506,2025gal_qm116,Yes,0,0,0,1,0,0,0,0,0,0,0,0,DeepCage,
620,2025gal_qm117,Yes,1,0,0,2,0,0,1,0,4,3,1,0,Parked,
620,2025gal_qm117,Yes,1,0,0,2,0,0,2,2,4,3,1,0,Parked,
6574,2025gal_qm117,Yes,0,0,0,1,0,1,0,0,0,0,1,0,DeepCage,
971,2025gal_qm117,Yes,0,0,0,2,0,0,1,3,8,3,0,2,DeepCage,
706,2025gal_qm117,Yes,0,0,0,1,0,0,0,0,3,2,2,2,Parked,
1868,2025gal_qm117,Yes,0,0,0,1,0,0,1,5,2,0,0,1,Parked,
971,2025gal_qm117,Yes,0,0,0,2,0,0,1,1,9,4,0,2,DeepCage,
1868,2025gal_qm117,Yes,0,0,0,2,0,0,1,2,3,2,0,2,Parked,
4522,2025gal_qm117,Yes,0,0,0,3,0,0,1,3,6,3,1,2,DeepCage,
6989,2025gal_qm118,Yes,0,0,0,0,0,0,0,0,7,0,0,0,DeepCage,
8503,2025gal_qm118,Yes,0,0,2,0,0,0,0,2,3,0,2,0,DeepCage,
6401,2025gal_qm118,Yes,0,0,0,0,0,0,0,4,2,0,0,0,Parked,
4039,2025gal_qm118,Yes,0,0,0,3,0,0,0,2,3,9,0,0,Parked,
1986,2025gal_qm118,Yes,0,0,0,2,0,0,1,0,6,3,1,0,DeepCage,
5411,2025gal_qm118,Yes,0,0,0,3,0,0,0,2,1,3,0,2,DeepCage,
5411,2025gal_qm118,Yes,0,0,0,3,0,0,0,1,2,3,0,3,DeepCage,
6989,2025gal_qm118,Yes,0,0,0,0,0,0,0,0,2,0,0,0,DeepCage,
7539,2025gal_qm119,Yes,0,0,2,0,0,0,2,1,7,0,0,0,Parked,
9016,2025gal_qm119,Yes,0,0,0,2,0,0,0,0,0,1,0,0,DeepCage,
8711,2025gal_qm119,Yes,0,0,1,0,0,0,0,0,6,1,0,0,Parked,
1540,2025gal_qm119,Yes,0,0,0,1,0,0,1,1,1,6,0,1,DeepCage,
9016,2025gal_qm119,Yes,0,0,0,2,0,0,0,0,0,1,0,0,DeepCage,
8711,2025gal_qm119,Yes,0,0,0,0,0,0,0,0,5,0,0,0,Parked,
5847,2025gal_qm119,Yes,0,0,0,1,0,0,0,0,3,8,0,5,Parked,
201,2025gal_qm119,Yes,0,0,0,0,0,0,0,0,0,5,0,0,DeepCage,
5411,2025gal_qm12,Yes,0,0,0,2,0,0,0,0,0,4,0,0,DeepCage,
2883,2025gal_qm12,Yes,0,0,0,1,2,0,0,2,3,2,1,0,None,
180,2025gal_qm12,Yes,0,0,0,3,0,0,7,2,4,1,0,1,DeepCage,
498,2025gal_qm12,Yes,0,0,0,0,0,0,0,0,0,2,0,8,DeepCage,
10011,2025gal_qm12,Yes,0,0,0,0,0,0,0,2,8,0,0,0,Parked,
10690,2025gal_qm12,Yes,0,0,0,0,0,0,1,1,3,0,0,0,None,
180,2025gal_qm12,Yes,0,0,0,3,0,0,7,3,3,1,0,1,DeepCage,
180,2025gal_qm12,Yes,0,0,0,4,0,0,7,4,6,2,0,1,DeepCage,
3536,2025gal_qm120,Yes,0,0,0,2,0,0,0,3,0,0,0,6,ShallowCage,
3536,2025gal_qm120,Yes,0,0,0,1,0,0,0,2,1,0,0,6,ShallowCage,
9692,2025gal_qm120,Yes,1,0,0,1,0,0,0,3,7,4,0,0,DeepCage,
9692,2025gal_qm120,Yes,0,0,0,1,0,0,0,3,5,3,0,0,DeepCage,
8214,2025gal_qm120,Yes,0,0,0,2,0,0,0,4,4,3,0,2,Parked,
1625,2025gal_qm120,Yes,0,0,0,2,0,0,2,0,3,1,0,3,DeepCage,
3128,2025gal_qm120,Yes,0,0,0,1,0,1,5,4,5,4,0,1,DeepCage,
834,2025gal_qm120,Yes,0,0,0,1,0,0,0,1,5,6,0,0,DeepCage,
3863,2025gal_qm121,Yes,0,0,1,0,0,0,0,1,4,0,0,1,DeepCage,
16,2025gal_qm121,Yes,0,0,0,1,0,1,0,2,2,1,2,6,Parked,
3863,2025gal_qm121,Yes,0,0,0,1,0,0,0,3,5,0,0,0,DeepCage,
190,2025gal_qm121,Yes,0,0,0,3,0,0,0,3,2,8,0,1,DeepCage,
6429,2025gal_qm121,Yes,0,0,0,0,0,0,0,3,0,0,2,0,Parked,
10011,2025gal_qm121,Yes,0,0,0,0,0,0,0,0,0,0,0,0,None,
2370,2025gal_qm121,Yes,0,0,0,2,0,0,0,3,5,5,0,0,DeepCage,
4135,2025gal_qm122,Yes,0,0,0,0,0,0,0,0,0,1,0,0,None,
7709,2025gal_qm122,Yes,0,0,0,2,0,0,0,2,2,6,0,0,DeepCage,
9008,2025gal_qm122,Yes,0,0,0,1,0,0,0,2,6,0,0,0,DeepCage,
8708,2025gal_qm122,Yes,0,0,0,0,0,0,0,2,1,2,0,0,Parked,
34,2025gal_qm122,Yes,0,0,0,0,0,0,0,0,0,2,0,0,Parked,
2813,2025gal_qm122,Yes,0,2,0,0,0,0,0,1,5,0,0,0,None,
1538,2025gal_qm123,Yes,0,1,0,2,0,0,0,5,3,2,1,0,DeepCage,
10589,2025gal_qm123,Yes,0,0,0,1,0,0,0,0,0,3,1,8,Parked,
5712,2025gal_qm123,Yes,0,0,0,1,0,0,0,3,5,4,0,2,DeepCage,
1501,2025gal_qm123,Yes,0,0,0,3,0,0,0,6,4,0,2,1,DeepCage,
3572,2025gal_qm123,Yes,0,0,0,3,0,0,3,4,5,0,0,0,Parked,
1792,2025gal_qm123,Yes,0,0,0,1,0,0,1,1,4,4,0,0,Parked,
10690,2025gal_qm124,Yes,0,0,0,0,0,0,0,0,1,0,1,0,Parked,
353,2025gal_qm124,Yes,0,0,0,1,0,2,0,2,1,4,0,1,Parked,
9037,2025gal_qm124,No,0,0,0,0,0,0,0,0,0,0,2,0,DeepCage,
180,2025gal_qm124,Yes,0,0,0,3,0,0,0,4,10,4,0,1,Parked,
7558,2025gal_qm124,Yes,1,0,0,2,0,0,1,0,4,7,0,2,DeepCage,
9785,2025gal_qm124,Yes,0,0,0,0,0,0,0,0,2,3,0,2,Parked,
9483,2025gal_qm125,Yes,1,0,2,0,0,0,0,4,6,8,0,0,DeepCage,
2614,2025gal_qm125,Yes,0,0,0,1,0,0,3,4,3,3,0,0,Parked,
7769,2025gal_qm125,No,0,0,0,2,0,0,1,4,3,3,0,1,DeepCage,
233,2025gal_qm125,Yes,0,0,0,1,0,0,0,0,4,4,0,0,DeepCage,
4680,2025gal_qm125,Yes,0,0,0,0,0,2,0,0,0,0,1,2,Parked,
498,2025gal_qm125,Yes,0,0,0,1,0,0,0,4,3,0,0,7,DeepCage,
34,2025gal_qm13,Yes,0,0,0,0,0,0,0,0,0,0,0,0,None,
201,2025gal_qm13,Yes,0,0,0,2,0,0,0,1,2,2,0,0,Parked,
201,2025gal_qm13,Yes,0,0,0,1,0,1,0,0,3,4,2,0,DeepCage,
8573,2025gal_qm13,Yes,1,0,0,0,0,0,0,2,1,0,0,0,None,
2530,2025gal_qm13,Yes,0,0,0,2,0,0,0,1,1,8,2,0,DeepCage,
1501,2025gal_qm13,Yes,0,0,0,0,0,0,0,0,4,3,2,0,DeepCage,
2530,2025gal_qm13,Yes,2,0,0,0,0,0,0,0,3,8,2,0,DeepCage,
1561,2025gal_qm13,Yes,1,0,0,1,0,0,0,0,0,0,0,0,None,
201,2025gal_qm13,Yes,0,0,0,1,0,0,1,1,1,2,0,0,Parked,
5712,2025gal_qm14,Yes,0,0,0,2,0,0,0,0,5,9,0,0,DeepCage,
6429,2025gal_qm14,Yes,0,0,0,1,0,0,0,0,0,3,0,0,Parked,
8711,2025gal_qm14,Yes,0,0,0,1,0,0,0,0,3,0,0,0,Parked,
2614,2025gal_qm14,Yes,1,0,0,1,0,0,0,0,3,3,0,0,DeepCage,
6574,2025gal_qm14,Yes,0,0,0,1,0,0,0,0,0,0,0,0,Parked,
5712,2025gal_qm14,Yes,0,0,0,2,0,0,0,2,3,7,0,0,DeepCage,
9785,2025gal_qm14,Yes,0,0,0,1,0,2,1,1,2,3,0,0,Parked,
834,2025gal_qm15,Yes,0,0,0,2,0,0,7,0,1,4,0,0,Parked,
4946,2025gal_qm15,Yes,0,0,0,3,0,0,6,3,3,1,0,1,Parked,
1792,2025gal_qm15,Yes,0,0,0,1,0,0,0,4,5,1,0,0,DeepCage,
9140,2025gal_qm15,Yes,0,0,0,1,0,0,0,4,3,3,0,2,None,
353,2025gal_qm15,Yes,0,0,0,1,0,1,0,3,3,2,0,0,Parked,
2230,2025gal_qm15,Yes,0,0,0,3,0,0,0,6,4,1,0,1,DeepCage,
1625,2025gal_qm16,No,0,0,0,1,0,1,0,4,0,3,2,2,DeepCage,
3536,2025gal_qm16,Yes,2,0,0,1,0,0,0,2,6,3,0,1,Parked,
7769,2025gal_qm16,Yes,0,0,0,1,0,1,0,4,4,5,1,2,DeepCage,
3536,2025gal_qm16,Yes,0,0,0,1,0,1,0,4,4,3,0,0,Parked,
7539,2025gal_qm16,Yes,0,1,1,0,0,0,0,0,2,9,0,0,DeepCage,
3035,2025gal_qm16,Yes,0,0,0,2,0,0,0,4,6,3,0,0,DeepCage,
3572,2025gal_qm16,Yes,0,0,0,3,0,0,0,0,3,4,3,0,DeepCage,
9037,2025gal_qm17,Yes,0,0,0,0,0,0,3,0,0,0,2,0,Parked,
1986,2025gal_qm17,Yes,0,0,0,1,0,0,0,0,0,0,0,0,None,
1986,2025gal_qm17,Yes,0,0,0,2,0,0,0,0,0,0,0,0,None,
3459,2025gal_qm17,Yes,0,0,0,0,0,0,0,1,2,0,2,0,Parked,
1540,2025gal_qm17,Yes,0,0,0,0,0,2,0,2,3,4,0,0,Parked,
9077,2025gal_qm17,Yes,0,0,0,0,0,0,0,0,3,7,0,0,Parked,
190,2025gal_qm17,Yes,0,0,0,4,0,0,0,7,7,4,0,3,Parked,
8503,2025gal_qm18,Yes,0,0,1,0,0,0,0,2,7,0,0,0,Parked,
8503,2025gal_qm18,Yes,0,0,0,0,0,0,0,4,4,0,0,0,Parked,
10589,2025gal_qm18,Yes,0,0,0,1,0,1,0,0,4,0,0,9,Parked,
1868,2025gal_qm18,Yes,0,0,0,1,0,0,0,0,2,2,0,1,DeepCage,
3863,2025gal_qm18,No,0,0,1,0,0,0,0,0,0,0,0,0,Parked,
7709,2025gal_qm18,Yes,0,0,0,1,0,0,1,0,0,5,0,2,Parked,
1218,2025gal_qm18,Yes,0,0,0,3,0,0,1,0,3,6,0,0,DeepCage,
1538,2025gal_qm19,Yes,0,1,0,1,0,0,0,2,7,2,1,1,None,
706,2025gal_qm19,Yes,0,0,0,1,0,1,0,0,1,1,1,0,Parked,
706,2025gal_qm19,Yes,0,0,0,0,0,0,0,0,1,1,0,0,Parked,
59,2025gal_qm19,No,0,0,0,0,0,0,1,1,1,0,1,4,ShallowCage,
9483,2025gal_qm19,Yes,1,1,2,0,0,0,4,2,3,5,0,0,Parked,
706,2025gal_qm19,Yes,0,0,0,1,0,1,0,0,1,1,1,0,Parked,
9483,2025gal_qm19,Yes,0,0,1,2,0,0,4,2,6,4,0,0,Parked,
8214,2025gal_qm19,Yes,0,0,0,0,0,0,0,0,1,5,0,1,None,
8708,2025gal_qm19,Yes,0,0,0,1,0,0,1,3,0,3,0,1,DeepCage,
4680,2025gal_qm2,Yes,0,0,0,0,0,0,0,0,0,0,0,8,ShallowCage,
4680,2025gal_qm2,Yes,0,0,0,0,0,0,0,0,0,0,0,8,DeepCage,
2370,2025gal_qm2,Yes,0,0,0,1,0,0,0,0,0,6,0,2,Parked,
3506,2025gal_qm2,Yes,0,0,0,1,0,0,0,0,0,8,0,0,DeepCage,
1792,2025gal_qm2,Yes,0,0,0,1,0,0,0,0,0,0,0,0,Parked,
6574,2025gal_qm2,Yes,0,0,0,1,0,0,0,0,0,0,0,0,DeepCage,
4381,2025gal_qm2,Yes,0,0,0,1,0,1,0,0,2,3,0,0,Parked,
3506,2025gal_qm2,Yes,0,0,0,1,0,0,0,0,0,8,0,0,DeepCage,
4680,2025gal_qm2,Yes,0,0,0,0,0,0,0,0,0,0,0,9,DeepCage,
2370,2025gal_qm2,Yes,0,0,0,1,0,0,0,0,1,6,0,2,Parked,
176,2025gal_qm20,Yes,0,0,0,2,0,0,3,4,6,2,0,1,DeepCage,
2992,2025gal_qm20,Yes,0,0,1,0,0,1,1,3,2,1,2,3,Parked,
620,2025gal_qm20,Yes,0,0,0,2,0,0,5,4,3,5,0,2,Parked,
2370,2025gal_qm20,Yes,0,0,0,1,0,0,0,5,2,0,3,1,Parked,
5847,2025gal_qm20,Yes,0,0,0,1,0,0,1,1,6,5,0,4,Parked,
5411,2025gal_qm20,Yes,0,0,0,2,0,0,0,5,4,2,0,0,Parked,
176,2025gal_qm20,Yes,0,0,0,2,0,1,0,5,5,2,0,0,DeepCage,
201,2025gal_qm21,Yes,0,0,0,1,0,0,0,0,4,2,1,1,DeepCage,
3990,2025gal_qm21,Yes,1,0,0,0,0,0,2,0,1,0,2,1,DeepCage,
10011,2025gal_qm21,No,0,0,0,0,0,0,0,1,1,2,0,0,Parked,
2813,2025gal_qm21,Yes,0,0,0,0,0,0,1,0,8,0,0,0,Parked,
4476,2025gal_qm21,Yes,0,0,0,3,0,1,3,2,2,4,0,0,DeepCage,
201,2025gal_qm21,Yes,0,0,0,1,0,0,0,3,2,2,1,0,DeepCage,
4476,2025gal_qm21,Yes,0,0,0,3,0,0,0,3,4,4,1,1,None,
3128,2025gal_qm21,Yes,1,0,0,2,0,0,0,2,2,6,0,1,DeepCage,
180,2025gal_qm22,Yes,0,0,0,2,0,0,6,6,4,5,0,1,DeepCage,
971,2025gal_qm22,Yes,1,0,0,1,0,0,1,0,9,1,2,0,DeepCage,
6401,2025gal_qm22,Yes,0,0,0,0,0,0,2,0,0,0,0,0,None,
4680,2025gal_qm22,Yes,1,0,0,0,0,1,0,0,0,0,0,0,None,
1002,2025gal_qm22,Yes,0,0,0,1,0,0,0,0,2,3,0,0,Parked,
4135,2025gal_qm22,Yes,0,0,0,0,0,0,0,0,0,0,0,1,None,
34,2025gal_qm23,Yes,0,0,0,0,0,0,0,0,0,0,0,0,Parked,
2883,2025gal_qm23,Yes,0,0,0,0,0,0,5,0,4,1,2,0,DeepCage,
4039,2025gal_qm23,Yes,0,0,0,2,0,0,0,1,6,4,0,0,DeepCage,
498,2025gal_qm23,Yes,0,0,0,0,0,2,0,0,0,5,0,5,Parked,
5348,2025gal_qm23,Yes,0,0,0,1,0,0,1,0,2,4,0,0,DeepCage,
